time,phase,pos_x,pos_y,pos_z,force_x,force_y,force_z,force_magnitude,depth,target_force
2.437000,1,0.312103,0.002567,0.521071,0.000000,0.000000,1.000000,1.000000,-0.016071,10.000000
2.447000,1,0.312104,0.002570,0.521071,0.000000,0.000000,1.000000,1.000000,-0.016071,10.000000
2.457000,1,0.312103,0.002572,0.521068,0.000000,0.000000,1.000000,1.000000,-0.016068,10.000000
2.467000,1,0.312103,0.002578,0.521073,0.000000,0.000000,1.000000,1.000000,-0.016073,10.000000
2.477000,1,0.312103,0.002579,0.521068,0.000000,0.000000,1.000000,1.000000,-0.016068,10.000000
2.487000,1,0.312101,0.002579,0.521070,0.000000,0.000000,1.000000,1.000000,-0.016070,10.000000
2.497000,1,0.312106,0.002587,0.521072,0.000000,0.000000,1.000000,1.000000,-0.016072,10.000000
2.507000,1,0.312103,0.002587,0.521071,0.000000,0.000000,1.000000,1.000000,-0.016071,10.000000
2.517000,1,0.312104,0.002590,0.521071,0.000000,0.000000,1.000000,1.000000,-0.016071,10.000000
2.527000,1,0.312103,0.002591,0.521068,0.000000,0.000000,1.000000,1.000000,-0.016068,10.000000
2.537000,1,0.312104,0.002598,0.521073,0.000000,0.000000,1.000000,1.000000,-0.016073,10.000000
2.547000,1,0.312104,0.002598,0.521068,0.000000,0.000000,1.000000,1.000000,-0.016068,10.000000
2.557000,1,0.312102,0.002597,0.521070,0.000000,0.000000,1.000000,1.000000,-0.016070,10.000000
2.567000,1,0.312107,0.002605,0.521072,0.000000,0.000000,1.000000,1.000000,-0.016072,10.000000
2.577000,1,0.312104,0.002605,0.521071,0.000000,0.000000,1.000000,1.000000,-0.016071,10.000000
2.587000,1,0.312105,0.002608,0.521071,0.000000,0.000000,1.000000,1.000000,-0.016071,10.000000
2.597000,1,0.312104,0.002609,0.521068,0.000000,0.000000,1.000000,1.000000,-0.016068,10.000000
2.607000,1,0.312104,0.002615,0.521073,0.000000,0.000000,1.000000,1.000000,-0.016073,10.000000
2.617000,1,0.312105,0.002616,0.521068,0.000000,0.000000,1.000000,1.000000,-0.016068,10.000000
2.627000,1,0.312103,0.002615,0.521070,0.000000,0.000000,1.000000,1.000000,-0.016070,10.000000
2.637000,1,0.312108,0.002622,0.521072,0.000000,0.000000,1.000000,1.000000,-0.016072,10.000000
